"","species","Region","LifeForm3","timeLag","off_FirstRec","cs_FirstRec"
"362","Zingeria pisidica","Belgium","PLANTS&ALGAE",0,2011,2011
"363","Zinnia elegans","Belgium","PLANTS&ALGAE",0,2011,2011
"364","Zizania latifolia","Belgium","PLANTS&ALGAE",0,2010,2010
"365","Zonotrichia capensis","Belgium","VERT",0,2018,2018
"366","Acer palmatum","Belgium","PLANTS&ALGAE",1,2013,2014
"367","Allium karataviense","Belgium","PLANTS&ALGAE",1,2018,2019
"368","Anas bahamensis","Slovenia","VERT",1,2015,2016
"369","Aproceros leucopoda","Belgium","INV",1,2013,2014
"370","Aproceros leucopoda","United Kingdom","INV",1,2017,2018
"371","Brugmansia arborea","Spain","PLANTS&ALGAE",1,2020,2021
"372","Callistemon viminalis","Spain","PLANTS&ALGAE",1,2018,2019
"373","Callopistromyia annulipes","Poland","INV",1,2018,2019
"374","Carex scoparia","Belgium","PLANTS&ALGAE",1,2013,2014
"375","Carpobrotus chilensis","Spain","PLANTS&ALGAE",1,2017,2018
"376","Chelone obliqua","Belgium","PLANTS&ALGAE",1,2011,2012
"377","Clematostigma maculiceps","New Zealand","INV",1,2011,2012
"378","Corythucha arcuata","France","INV",1,2017,2018
"379","Corythucha arcuata","Romania","INV",1,2016,2017
"380","Cotoneaster ascendens","Belgium","PLANTS&ALGAE",1,2010,2011
"381","Cotoneaster mairei","Belgium","PLANTS&ALGAE",1,2010,2011
"382","Crangon crangon","Norway","INV",1,2012,2013
"383","Cydalima perspectalis","Greece","INV",1,2014,2015
"384","Cydalima perspectalis","Italy","INV",1,2011,2012
"385","Cynoglossum amabile","Belgium","PLANTS&ALGAE",1,2011,2012
"386","Drepanaphis acerifoliae","Serbia","INV",1,2019,2020
"387","Drosophila suzukii","Netherlands","INV",1,2012,2013
"388","Drosophila suzukii","Portugal","INV",1,2012,2013
"389","Dryocosmus kuriphilus","Spain","INV",1,2012,2013
"390","Glycaspis brimblecombei","Greece","INV",1,2013,2014
"391","Halyomorpha halys","Croatia","INV",1,2017,2018
"392","Halyomorpha halys","Slovenia","INV",1,2017,2018
"393","Jacaranda mimosifolia","Greece","PLANTS&ALGAE",1,2014,2015
"394","Knautia macedonica","Belgium","PLANTS&ALGAE",1,2011,2012
"395","Lantanophaga pusillidactylus","Greece","INV",1,2018,2019
"396","Leonotis leonurus","Spain","PLANTS&ALGAE",1,2019,2020
"397","Leptoglossus occidentalis","Greece","INV",1,2011,2012
"398","Linaria maroccana","France","PLANTS&ALGAE",1,2012,2013
"399","Mahonia bealei","Spain","PLANTS&ALGAE",1,2020,2021
"400","Mustela putorius","Spain","VERT",1,2010,2011
"401","Neillia incisa","Belgium","PLANTS&ALGAE",1,2012,2013
"402","Neogobius melanostomus","Belgium","VERT",1,2010,2011
"403","Oenothera casimiri","Belgium","PLANTS&ALGAE",1,2017,2018
"404","Ophraella communa","Serbia","INV",1,2020,2021
"405","Paronychia argentea","Belgium","PLANTS&ALGAE",1,2016,2017
"406","Pinus wallichiana","Belgium","PLANTS&ALGAE",1,2012,2013
"407","Polystichum polyblepharum","Belgium","PLANTS&ALGAE",1,2013,2014
"408","Rosa chinensis","Belgium","PLANTS&ALGAE",1,2010,2011
"409","Rudbeckia fulgida","France","PLANTS&ALGAE",1,2014,2015
"410","Rumex pseudonatronatus","Belgium","PLANTS&ALGAE",1,2010,2011
"411","Saxifraga rotundifolia","Sweden","PLANTS&ALGAE",1,2010,2011
"412","Sedum pallidum","Italy","PLANTS&ALGAE",1,2020,2021
"413","Solandra maxima","Spain","PLANTS&ALGAE",1,2010,2011
"414","Stragania apicalis","Germany","INV",1,2012,2013
"415","Tiarella cordifolia","Belgium","PLANTS&ALGAE",1,2012,2013
"416","Urocissa erythroryncha","Belgium","VERT",1,2017,2018
"417","Veronica cymbalaria","Belgium","PLANTS&ALGAE",1,2015,2016
"418","Viburnum davidii","Belgium","PLANTS&ALGAE",1,2014,2015
"419","Acer japonicum","Belgium","PLANTS&ALGAE",2,2010,2012
"420","Acer negundo","Albania","PLANTS&ALGAE",2,2013,2015
"421","Acontia candefacta","Croatia","INV",2,2019,2021
"422","Agapornis personatus","Belgium","VERT",2,2014,2016
"423","Belonochilus numenius","Greece","INV",2,2017,2019
"424","Callopistromyia annulipes","Netherlands","INV",2,2011,2013
"425","Carcelia iliaca","United Kingdom","INV",2,2014,2016
"426","Corythucha arcuata","Slovenia","INV",2,2016,2018
"427","Cotoneaster hylmoei","Belgium","PLANTS&ALGAE",2,2011,2013
"428","Cotoneaster qungbixiensis","Belgium","PLANTS&ALGAE",2,2011,2013
"429","Cydalima perspectalis","Bulgaria","INV",2,2013,2015
"430","Cydalima perspectalis","Serbia","INV",2,2014,2016
"431","Cydalima perspectalis","Slovakia","INV",2,2011,2013
"432","Darmera peltata","Belgium","PLANTS&ALGAE",2,2011,2013
"433","Diadumene lineata","Denmark","INV",2,2017,2019
"434","Galanthus plicatus","Belgium","PLANTS&ALGAE",2,2015,2017
"435","Glandularia hybrida","Belgium","PLANTS&ALGAE",2,2010,2012
"436","Haliaeetus leucocephalus","Belgium","VERT",2,2013,2015
"437","Halyomorpha halys","Bulgaria","INV",2,2016,2018
"438","Halyomorpha halys","France","INV",2,2012,2014
"439","Halyomorpha halys","Hungary","INV",2,2013,2015
"440","Halyomorpha halys","Serbia","INV",2,2015,2017
"441","Houttuynia cordata","Belgium","PLANTS&ALGAE",2,2010,2012
"442","Lophura leucomelanos","Belgium","VERT",2,2012,2014
"443","Luzula nivea","Belgium","PLANTS&ALGAE",2,2013,2015
"444","Metrosideros excelsa","Italy","PLANTS&ALGAE",2,2013,2015
"445","Monoxia obesula","Spain","INV",2,2017,2019
"446","Narcissus tazetta","Belgium","PLANTS&ALGAE",2,2011,2013
"447","Nematus tibialis","Slovenia","INV",2,2017,2019
"448","Oenothera suaveolens","Belgium","PLANTS&ALGAE",2,2015,2017
"449","Parmelina quercina","Sweden","MICRO",2,2010,2012
"450","Perovskia atriplicifolia","Austria","PLANTS&ALGAE",2,2017,2019
"451","Phellopsylla formicosa","New Zealand","INV",2,2014,2016
"452","Pieris brassicae","New Zealand","INV",2,2010,2012
"453","Rangia cuneata","Sweden","INV",2,2016,2018
"454","Rhyzobius lophanthae","New Zealand","INV",2,2014,2016
"455","Sasa palmata","Sweden","PLANTS&ALGAE",2,2010,2012
"456","Sophonia orientalis","Portugal","INV",2,2018,2020
"457","Talinum paniculatum","Austria","PLANTS&ALGAE",2,2018,2020
"458","Thaumastocoris peregrinus","New Zealand","INV",2,2012,2014
"459","Thaumastocoris peregrinus","Portugal","INV",2,2012,2014
"460","Theora lubrica","United Kingdom","INV",2,2018,2020
"461","Tinocallis ulmiparvifoliae","New Zealand","INV",2,2013,2015
"462","Vernonia fasciculata","Belgium","PLANTS&ALGAE",2,2013,2015
"463","Xylotrechus chinensis","Greece","INV",2,2017,2019
"464","Abies homolepis","Belgium","PLANTS&ALGAE",3,2016,2019
"465","Arabis procurrens","Belgium","PLANTS&ALGAE",3,2011,2014
"466","Asplenium ceterach","Austria","PLANTS&ALGAE",3,2017,2020
"467","Callopistromyia annulipes","Belgium","INV",3,2014,2017
"468","Callopistromyia annulipes","Czech Republic","INV",3,2016,2019
"469","Callopistromyia annulipes","Slovakia","INV",3,2014,2017
"470","Chama congregata","United Kingdom","INV",3,2012,2015
"471","Chlorophorus varius","United Kingdom","INV",3,2018,2021
"472","Corythucha arcuata","Greece","INV",3,2018,2021
"473","Corythucha arcuata","Slovakia","INV",3,2018,2021
"474","Corythucha arcuata","Ukraine","INV",3,2017,2020
"475","Cydalima perspectalis","Croatia","INV",3,2012,2015
"476","Cydalima perspectalis","Hungary","INV",3,2011,2014
"477","Drosophila suzukii","Germany","INV",3,2011,2014
"478","Dryocosmus kuriphilus","Germany","INV",3,2012,2015
"479","Dryocosmus kuriphilus","Italy","INV",3,2010,2013
"480","Earias roseifera","Italy","INV",3,2016,2019
"481","Epilobium brachycarpum","Belgium","PLANTS&ALGAE",3,2012,2015
"482","Leptoglossus occidentalis","Ukraine","INV",3,2011,2014
"483","Microlepia platyphylla","Portugal","PLANTS&ALGAE",3,2017,2020
"484","Muscari latifolium","Belgium","PLANTS&ALGAE",3,2014,2017
"485","Neurogalesus militis","New Zealand","INV",3,2012,2015
"486","Oxalis dillenii","Belgium","PLANTS&ALGAE",3,2012,2015
"487","Penaeus pulchricaudatus","Greece","INV",3,2017,2020
"488","Rangia cuneata","Germany","INV",3,2013,2016
"489","Rhithropanopeus harrisii","Sweden","INV",3,2014,2017
"490","Salix babylonica","Austria","PLANTS&ALGAE",3,2013,2016
"491","Sisyrinchium striatum","Belgium","PLANTS&ALGAE",3,2016,2019
"492","Thaumastocoris peregrinus","Greece","INV",3,2016,2019
"493","Tulbaghia violacea","Italy","PLANTS&ALGAE",3,2015,2018
"494","Veronica cymbalaria","Belgium","PLANTS&ALGAE",3,2015,2018
"495","Veronicastrum virginicum","Belgium","PLANTS&ALGAE",3,2013,2016
"496","Vespa velutina","Portugal","INV",3,2011,2014
"497","Zantedeschia aethiopica","Belgium","PLANTS&ALGAE",3,2013,2016
"498","Zyginella pulchra","Belgium","INV",3,2016,2019
"499","Aedes japonicus","Slovenia","INV",4,2010,2014
"500","Aesculus parviflora","Belgium","PLANTS&ALGAE",4,2013,2017
"501","Allium lusitanicum","Belgium","PLANTS&ALGAE",4,2014,2018
"502","Amaranthus blitum","Italy","PLANTS&ALGAE",4,2012,2016
"503","Amaranthus palmeri","Italy","PLANTS&ALGAE",4,2015,2019
"504","Amathia verticillata","France","INV",4,2015,2019
"505","Ammothea hilgendorfi","Netherlands","INV",4,2013,2017
"506","Aureoboletus projectellus","Norway","MICRO",4,2010,2014
"507","Carex muskingumensis","Belgium","PLANTS&ALGAE",4,2010,2014
"508","Centaurea benedicta","Belgium","PLANTS&ALGAE",4,2014,2018
"509","Chlorophytum comosum","Belgium","PLANTS&ALGAE",4,2011,2015
"510","Corythucha arcuata","Bosnia and Herzegovina","INV",4,2017,2021
"511","Corythucha arcuata","Serbia","INV",4,2013,2017
"512","Crassula natans","New Zealand","PLANTS&ALGAE",4,2011,2015
"513","Crepis bursifolia","Belgium","PLANTS&ALGAE",4,2016,2020
"514","Crocus chrysanthus","Belgium","PLANTS&ALGAE",4,2013,2017
"515","Cyclamen coum","Belgium","PLANTS&ALGAE",4,2011,2015
"516","Drosophila suzukii","Italy","INV",4,2012,2016
"517","Drosophila suzukii","United Kingdom","INV",4,2012,2016
"518","Dryocosmus kuriphilus","Portugal","INV",4,2014,2018
"519","Dryocosmus kuriphilus","United Kingdom","INV",4,2015,2019
"520","Eclectus roratus","Belgium","VERT",4,2010,2014
"521","Equisetum variegatum","Denmark","PLANTS&ALGAE",4,2017,2021
"522","Euonymus alatus","Belgium","PLANTS&ALGAE",4,2011,2015
"523","Eupholidoptera schmidti","Austria","INV",4,2011,2015
"524","Halyomorpha halys","Greece","INV",4,2011,2015
"525","Helianthus decapetalus","Belgium","PLANTS&ALGAE",4,2011,2015
"526","Hymenoscyphus fraxineus","Italy","MICRO",4,2010,2014
"527","Lamprodila festiva","Serbia","INV",4,2014,2018
"528","Liatris spicata","Belgium","PLANTS&ALGAE",4,2011,2015
"529","Lonicera involucrata","Belgium","PLANTS&ALGAE",4,2014,2018
"530","Megabruchidius dorsalis","France","INV",4,2012,2016
"531","Nephrolepis exaltata","New Zealand","PLANTS&ALGAE",4,2014,2018
"532","Osmia cornuta","United Kingdom","INV",4,2014,2018
"533","Paropsisterna beata","New Zealand","INV",4,2012,2016
"534","Parupeneus forsskali","Greece","VERT",4,2017,2021
"535","Polypogon viridis","Norway","PLANTS&ALGAE",4,2015,2019
"536","Pseudemys concinna","Portugal","VERT",4,2013,2017
"537","Pteris multifida","Italy","PLANTS&ALGAE",4,2017,2021
"538","Rhyzobius forestieri","United Kingdom","INV",4,2014,2018
"539","Ricania speculum","Italy","INV",4,2014,2018
"540","Salix pendulina","Norway","PLANTS&ALGAE",4,2013,2017
"541","Stephanitis takeyai","Austria","INV",4,2011,2015
"542","Symphytum bulbosum","Austria","PLANTS&ALGAE",4,2011,2015
"543","Symphytum grandiflorum","France","PLANTS&ALGAE",4,2013,2017
"544","Takahashia japonica","Italy","INV",4,2017,2021
"545","Tellima grandiflora","France","PLANTS&ALGAE",4,2013,2017
"546","Trichopoda pennipes","Greece","INV",4,2011,2015
"547","Trollius europaeus","Iceland","PLANTS&ALGAE",4,2011,2015
"548","Abies veitchii","Norway","PLANTS&ALGAE",5,2012,2017
"549","Acer palmatum","Norway","PLANTS&ALGAE",5,2015,2020
"550","Acrosternum heegeri","Hungary","INV",5,2015,2020
"551","Aesculus pavia","Belgium","PLANTS&ALGAE",5,2011,2016
"552","Anoplophora glabripennis","France","INV",5,2013,2018
"553","Bauhinia variegata","Greece","PLANTS&ALGAE",5,2013,2018
"554","Blaste lignicola","New Zealand","INV",5,2011,2016
"555","Callicarpa bodinieri","Belgium","PLANTS&ALGAE",5,2014,2019
"556","Callopistromyia annulipes","Hungary","INV",5,2016,2021
"557","Corylus maxima","Norway","PLANTS&ALGAE",5,2016,2021
"558","Corythucha arcuata","Croatia","INV",5,2013,2018
"559","Cotoneaster conspicuus","Belgium","PLANTS&ALGAE",5,2010,2015
"560","Crocus tommasinianus","Italy","PLANTS&ALGAE",5,2014,2019
"561","Ctenolepisma longicaudatum","United Kingdom","INV",5,2014,2019
"562","Cydalima perspectalis","Czech Republic","INV",5,2011,2016
"563","Cydalima perspectalis","Romania","INV",5,2011,2016
"564","Cydalima perspectalis","Slovenia","INV",5,2011,2016
"565","Drosophila suzukii","Belgium","INV",5,2011,2016
"566","Drosophila suzukii","Switzerland","INV",5,2011,2016
"567","Dryocosmus kuriphilus","France","INV",5,2010,2015
"568","Erythranthe cuprea","Belgium","PLANTS&ALGAE",5,2011,2016
"569","Erythrina crista-galli","France","PLANTS&ALGAE",5,2014,2019
"570","Galanthus woronowii","Austria","PLANTS&ALGAE",5,2015,2020
"571","Graptemys pseudogeographica","Portugal","VERT",5,2013,2018
"572","Halyomorpha halys","Germany","INV",5,2011,2016
"573","Hemigrapsus sanguineus","Sweden","INV",5,2012,2017
"574","Hydrangea macrophylla","Belgium","PLANTS&ALGAE",5,2013,2018
"575","Hylotelephium spectabile","France","PLANTS&ALGAE",5,2010,2015
"576","Hymenoscyphus fraxineus","United Kingdom","MICRO",5,2012,2017
"577","Illinoia liriodendri","Serbia","INV",5,2015,2020
"578","Leucaena leucocephala","Portugal","PLANTS&ALGAE",5,2011,2016
"579","Pachysandra terminalis","Slovenia","PLANTS&ALGAE",5,2014,2019
"580","Paropsisterna selmani","Ireland","INV",5,2013,2018
"581","Percnon gibbesi","France","INV",5,2014,2019
"582","Phodopus sungorus","Italy","VERT",5,2015,2020
"583","Salvia hispanica","Spain","PLANTS&ALGAE",5,2014,2019
"584","Sibbaldia tridentata","Belgium","PLANTS&ALGAE",5,2013,2018
"585","Skimmia japonica","Belgium","PLANTS&ALGAE",5,2012,2017
"586","Vicia faba","Albania","PLANTS&ALGAE",5,2013,2018
"587","Xylella fastidiosa","Spain","MICRO",5,2016,2021
"588","Zelus renardii","Greece","INV",5,2010,2015
"589","Acer tataricum","Belgium","PLANTS&ALGAE",6,2012,2018
"590","Acrosternum heegeri","Serbia","INV",6,2013,2019
"591","Actinidia chinensis","France","PLANTS&ALGAE",6,2012,2018
"592","Alcea rosea","Albania","PLANTS&ALGAE",6,2011,2017
"593","Aproceros leucopoda","Germany","INV",6,2010,2016
"594","Berberis thunbergii","Czech Republic","PLANTS&ALGAE",6,2011,2017
"595","Betula papyrifera","Belgium","PLANTS&ALGAE",6,2012,2018
"596","Callopistromyia annulipes","France","INV",6,2011,2017
"597","Carex muricata","Belgium","PLANTS&ALGAE",6,2010,2016
"598","Chrysanthemum indicum","France","PLANTS&ALGAE",6,2014,2020
"599","Claytonia sibirica","France","PLANTS&ALGAE",6,2011,2017
"600","Corythucha arcuata","Hungary","INV",6,2013,2019
"601","Cosmos sulphureus","France","PLANTS&ALGAE",6,2011,2017
"602","Crassula helmsii","Sweden","PLANTS&ALGAE",6,2010,2016
"603","Crocosmia crocosmiiflora","Belgium","PLANTS&ALGAE",6,2013,2019
"604","Crocus luteus","Belgium","PLANTS&ALGAE",6,2013,2019
"605","Datura innoxia","Serbia","PLANTS&ALGAE",6,2013,2019
"606","Drosophila suzukii","Austria","INV",6,2011,2017
"607","Dryocosmus kuriphilus","Netherlands","INV",6,2010,2016
"608","Erigeron annuus","Albania","PLANTS&ALGAE",6,2013,2019
"609","Ictalurus punctatus","Portugal","VERT",6,2012,2018
"610","Luperomorpha xanthodera","Austria","INV",6,2011,2017
"611","Phymosia umbellata","Greece","PLANTS&ALGAE",6,2014,2020
"612","Polystichum munitum","Belgium","PLANTS&ALGAE",6,2013,2019
"613","Rhacocleis annulata","Austria","INV",6,2014,2020
"614","Senecio angulatus","Greece","PLANTS&ALGAE",6,2014,2020
"615","Sisyrinchium angustifolium","Belgium","PLANTS&ALGAE",6,2015,2021
"616","Symphoricarpos albus var. laevigatus x microphyllus x orbiculatus","Belgium","PLANTS&ALGAE",6,2012,2018
"617","Thaumastocoris peregrinus","Italy","INV",6,2011,2017
"618","Vespa velutina","Italy","INV",6,2012,2018
"619","Xylotrechus chinensis","Spain","INV",6,2013,2019
"620","Aedes japonicus","Croatia","INV",7,2013,2020
"621","Aphis illinoisensis","Spain","INV",7,2011,2018
"622","Aromia bungii","Italy","INV",7,2012,2019
"623","Artemisia verlotiorum","Slovakia","PLANTS&ALGAE",7,2013,2020
"624","Belonochilus numenius","Austria","INV",7,2011,2018
"625","Berberis julianae","France","PLANTS&ALGAE",7,2011,2018
"626","Betonica macrantha","Belgium","PLANTS&ALGAE",7,2012,2019
"627","Bombus pascuorum","Iceland","INV",7,2010,2017
"628","Broussonetia papyrifera","Belgium","PLANTS&ALGAE",7,2011,2018
"629","Ceroplastes japonicus","Greece","INV",7,2012,2019
"630","Chymomyza amoena","Slovenia","INV",7,2012,2019
"631","Commelina communis","Albania","PLANTS&ALGAE",7,2010,2017
"632","Corythucha arcuata","Bulgaria","INV",7,2012,2019
"633","Diadema setosum","Greece","INV",7,2010,2017
"634","Elaeagnus umbellata","France","PLANTS&ALGAE",7,2012,2019
"635","Equisetum arvense","Ireland","PLANTS&ALGAE",7,2010,2017
"636","Ficopomatus enigmaticus","Sweden","INV",7,2013,2020
"637","Glycaspis brimblecombei","Italy","INV",7,2010,2017
"638","Graphocephala fennahi","Norway","INV",7,2010,2017
"639","Lonicera fragrantissima","France","PLANTS&ALGAE",7,2012,2019
"640","Lycianthes rantonnetii","France","PLANTS&ALGAE",7,2011,2018
"641","Malus purpurea","Norway","PLANTS&ALGAE",7,2012,2019
"642","Melilotus elegans","Belgium","PLANTS&ALGAE",7,2012,2019
"643","Mirabilis jalapa","Albania","PLANTS&ALGAE",7,2010,2017
"644","Nandina domestica","France","PLANTS&ALGAE",7,2011,2018
"645","Neillia tanakae","Belgium","PLANTS&ALGAE",7,2012,2019
"646","Orientus ishidae","United Kingdom","INV",7,2011,2018
"647","Penaeus aztecus","Greece","INV",7,2012,2019
"648","Perovskia atriplicifolia","France","PLANTS&ALGAE",7,2010,2017
"649","Phyla nodiflora","Belgium","PLANTS&ALGAE",7,2010,2017
"650","Pycnonotus leucotis","Belgium","VERT",7,2013,2020
"651","Scyphophorus acupunctatus","France","INV",7,2010,2017
"652","Symphoricarpos orbiculatus","Belgium","PLANTS&ALGAE",7,2012,2019
"653","Teucrium hircanicum","Belgium","PLANTS&ALGAE",7,2012,2019
"654","Thuja occidentalis","Czech Republic","PLANTS&ALGAE",7,2012,2019
"655","Tsuga mertensiana","Norway","PLANTS&ALGAE",7,2012,2019
"656","Vaccinium corymbosum","Czech Republic","PLANTS&ALGAE",7,2011,2018
"657","Xylella fastidiosa","Italy","MICRO",7,2013,2020
"658","Zantedeschia aethiopica","Belgium","PLANTS&ALGAE",7,2013,2020
"659","Allium ramosum","Belgium","PLANTS&ALGAE",8,2010,2018
"660","Berberis julianae","Czech Republic","PLANTS&ALGAE",8,2010,2018
"661","Buddleja alternifolia","Czech Republic","PLANTS&ALGAE",8,2011,2019
"662","Calendula officinalis","Albania","PLANTS&ALGAE",8,2011,2019
"663","Ceratitis capitata","Austria","INV",8,2011,2019
"664","Claytonia perfoliata","Slovakia","PLANTS&ALGAE",8,2010,2018
"665","Epimedium pinnatum","Belgium","PLANTS&ALGAE",8,2012,2020
"666","Erythranthe lutea","Belgium","PLANTS&ALGAE",8,2012,2020
"667","Eucalyptus globulus","Albania","PLANTS&ALGAE",8,2011,2019
"668","Gunnera tinctoria","France","PLANTS&ALGAE",8,2010,2018
"669","Hemigrapsus takanoi","United Kingdom","INV",8,2011,2019
"670","Impatiens balsamina","Albania","PLANTS&ALGAE",8,2011,2019
"671","Myoporum tenuifolium","Greece","PLANTS&ALGAE",8,2013,2021
"672","Parthenocissus quinquefolia","Albania","PLANTS&ALGAE",8,2011,2019
"673","Pilosella officinarum","Iceland","PLANTS&ALGAE",8,2010,2018
"674","Polygonatum hybridum","Belgium","PLANTS&ALGAE",8,2010,2018
"675","Pterostyrax hispidus","Belgium","PLANTS&ALGAE",8,2012,2020
"676","Pycnanthemum verticillatum","Belgium","PLANTS&ALGAE",8,2010,2018
"677","Rhithropanopeus harrisii","Estonia","INV",8,2011,2019
"678","Rhithropanopeus harrisii","Latvia","INV",8,2013,2021
"679","Sambucus racemosa","Iceland","PLANTS&ALGAE",8,2010,2018
"680","Sarracenia purpurea","Czech Republic","PLANTS&ALGAE",8,2010,2018
"681","Sasa palmata","Czech Republic","PLANTS&ALGAE",8,2012,2020
"682","Solanum betaceum","Spain","PLANTS&ALGAE",8,2011,2019
"683","Stragania apicalis","Austria","INV",8,2012,2020
"684","Symphoricarpos orbiculatus","Belgium","PLANTS&ALGAE",8,2012,2020
"685","Symphytum caucasicum","France","PLANTS&ALGAE",8,2011,2019
"686","Vespa orientalis","Spain","INV",8,2012,2020
"687","Zea mays","Albania","PLANTS&ALGAE",8,2011,2019
"688","Austropsocus viridis","New Zealand","INV",9,2011,2020
"689","Belonochilus numenius","Serbia","INV",9,2011,2020
"690","Carex grayi","Czech Republic","PLANTS&ALGAE",9,2010,2019
"691","Clarkia amoena","Belgium","PLANTS&ALGAE",9,2012,2021
"692","Corythauma ayyari","Italy","INV",9,2012,2021
"693","Crangonyx pseudogracilis","Portugal","INV",9,2011,2020
"694","Dryopteris erythrosora","France","PLANTS&ALGAE",9,2010,2019
"695","Geranium maderense","France","PLANTS&ALGAE",9,2012,2021
"696","Glycaspis brimblecombei","Spain","INV",9,2010,2019
"697","Hippophae rhamnoides","Portugal","PLANTS&ALGAE",9,2011,2020
"698","Megabruchidius tonkineus","Serbia","INV",9,2011,2020
"699","Nothoscordum gracile","France","PLANTS&ALGAE",9,2011,2020
"700","Oenothera speciosa","Spain","PLANTS&ALGAE",9,2011,2020
"701","Oncorhynchus mykiss","Greece","VERT",9,2012,2021
"702","Palaemon elegans","Estonia","INV",9,2011,2020
"703","Perovskia abrotanoides","Belgium","PLANTS&ALGAE",9,2010,2019
"704","Picea omorika","France","PLANTS&ALGAE",9,2011,2020
"705","Rhagoletis cingulata","France","INV",9,2010,2019
"706","Schizoporella japonica","Norway","INV",9,2010,2019
"707","Solanum tuberosum","Albania","PLANTS&ALGAE",9,2012,2021
"708","Acacia baileyana","France","PLANTS&ALGAE",10,2011,2021
"709","Cotoneaster divaricatus","Czech Republic","PLANTS&ALGAE",10,2010,2020
"710","Dianthus deltoides","Iceland","PLANTS&ALGAE",10,2010,2020
"711","Hedera colchica","France","PLANTS&ALGAE",10,2010,2020
"712","Hermetia illucens","Czech Republic","INV",10,2010,2020
"713","Isodontia mexicana","Serbia","INV",10,2010,2020
"714","Musophaga violacea","Spain","VERT",10,2011,2021
"715","Nematus ribesii","Iceland","INV",10,2010,2020
"716","Nepeta racemosa","Slovakia","PLANTS&ALGAE",10,2010,2020
"717","Oenothera lindheimeri","Norway","PLANTS&ALGAE",10,2010,2020
"718","Ommatotriton ophryticus","Spain","VERT",10,2011,2021
"719","Phormium tenax","France","PLANTS&ALGAE",10,2010,2020
"720","Psyllaephagus bliteus","Italy","INV",10,2011,2021
"721","Sedum sarmentosum","France","PLANTS&ALGAE",10,2010,2020
"722","Zygina nivea","United Kingdom","INV",10,2010,2020
"723","Belonochilus numenius","Portugal","INV",11,2010,2021
"724","Campsis radicans","Portugal","PLANTS&ALGAE",11,2010,2021
"725","Carica papaya","Spain","PLANTS&ALGAE",11,2010,2021
"726","Eremocoris fenestratus","United Kingdom","INV",11,2010,2021
"727","Hedera maroccana","Belgium","PLANTS&ALGAE",11,2010,2021
"728","Hygromia cinctella","Czech Republic","INV",11,2010,2021
"729","Muscari armeniacum","Slovakia","PLANTS&ALGAE",11,2010,2021
"730","Rubus laciniatus","Portugal","PLANTS&ALGAE",11,2010,2021
"731","Trichoferus campestris","Hungary","INV",11,2010,2021
"732","Tuta absoluta","United Kingdom","INV",11,2010,2021
